Date,AAPL,NVDA,TSLA
2022-02-03,169.19,23.9,297.05
2022-02-04,168.91,24.27,307.77
2022-02-07,168.19,24.68,302.45
2022-02-08,171.3,25.06,307.33
2022-02-09,172.72,26.65,310.67
2022-02-10,168.64,25.77,301.52
2022-02-11,165.23,23.9,286.67
2022-02-14,165.47,24.22,291.92
2022-02-15,169.3,26.44,307.48
2022-02-16,169.06,26.46,307.8
2022-02-17,165.47,24.46,292.12
2022-02-18,163.92,23.6,285.66
2022-02-22,161.0,23.34,273.84
2022-02-23,156.83,22.34,254.68
2022-02-24,159.45,23.7,266.92
2022-02-25,161.52,24.11,269.96
2022-02-28,161.78,24.34,290.14
2022-03-01,159.9,23.43,288.12
2022-03-02,163.19,24.18,293.3
2022-03-03,162.87,23.67,279.76
2022-03-04,159.87,22.9,279.43
2022-03-07,156.08,21.31,268.19
2022-03-08,154.26,21.48,274.8
2022-03-09,159.66,22.97,286.32
2022-03-10,155.32,22.62,279.43
2022-03-11,151.6,22.06,265.12
2022-03-14,147.58,21.29,255.46
2022-03-15,151.95,22.93,267.3
2022-03-16,156.36,24.45,280.08
2022-03-17,157.37,24.72,290.53
2022-03-18,160.67,26.41,301.8
2022-03-21,162.04,26.69,307.05
2022-03-22,165.41,26.48,331.33
2022-03-23,166.77,25.59,333.04
2022-03-24,170.55,28.1,337.97
2022-03-25,171.19,27.64,336.88
2022-03-28,172.05,28.17,363.95
2022-03-29,175.34,28.61,366.52
2022-03-30,174.18,27.64,364.66
2022-03-31,171.08,27.24,359.2
2022-04-01,170.79,26.66,361.53
2022-04-04,174.83,27.31,381.82
2022-04-05,171.52,25.89,363.75
2022-04-06,168.36,24.36,348.59
2022-04-07,168.66,24.17,352.42
2022-04-08,166.65,23.08,341.83
2022-04-11,162.4,21.88,325.31
2022-04-12,164.27,21.47,328.98
2022-04-13,166.96,22.16,340.79
2022-04-14,161.95,21.22,328.33
2022-04-18,161.73,21.74,334.76
2022-04-19,164.02,22.16,342.72
2022-04-20,163.85,21.44,325.73
2022-04-21,163.06,20.15,336.26
2022-04-22,158.52,19.48,335.02
2022-04-25,159.59,19.87,332.67
2022-04-26,153.63,18.75,292.14
2022-04-27,153.4,18.38,293.84
2022-04-28,160.33,19.75,292.5
2022-04-29,154.46,18.51,290.25
2022-05-02,154.77,19.5,300.98
2022-05-03,156.26,19.57,303.08
2022-05-04,162.66,20.3,317.54
2022-05-05,153.6,18.81,291.09
2022-05-06,154.33,18.64,288.55
2022-05-09,149.2,16.92,262.37
2022-05-10,151.61,17.56,266.68
2022-05-11,143.75,16.6,244.67
2022-05-12,139.88,16.15,242.67
2022-05-13,144.35,17.67,256.53
2022-05-16,142.81,17.23,241.46
2022-05-17,146.44,18.14,253.87
2022-05-18,138.18,16.91,236.6
2022-05-19,134.77,17.09,236.47
2022-05-20,135.01,16.66,221.3
2022-05-23,140.42,16.87,224.97
2022-05-24,137.72,16.13,209.39
2022-05-25,137.88,16.95,219.6
2022-05-26,141.08,17.82,235.91
2022-05-27,146.83,18.78,253.21
2022-05-31,146.05,18.64,252.75
2022-06-01,145.92,18.29,246.79
2022-06-02,148.37,19.56,258.33
2022-06-03,142.65,18.69,234.52
2022-06-06,143.4,18.75,238.28
2022-06-07,145.92,18.89,238.89
2022-06-08,145.18,18.62,241.87
2022-06-09,139.96,18.02,239.71
2022-06-10,134.56,16.95,232.23
2022-06-13,129.4,15.62,215.74
2022-06-14,130.27,15.81,220.89
2022-06-15,132.89,16.5,233.0
2022-06-16,127.62,15.58,213.1
2022-06-17,129.09,15.86,216.76
2022-06-21,133.32,16.54,237.04
2022-06-22,132.81,16.33,236.09
2022-06-23,135.67,16.2,235.07
2022-06-24,139.0,17.1,245.71
2022-06-27,139.0,16.84,244.92
2022-06-28,134.86,15.96,232.66
2022-06-29,136.62,15.52,228.49
2022-06-30,134.15,15.14,224.47
2022-07-01,136.32,14.5,227.26
2022-07-05,138.9,14.94,233.07
2022-07-06,140.24,15.11,231.73
2022-07-07,143.6,15.83,244.54
2022-07-08,144.28,15.81,250.76
2022-07-11,142.15,15.13,234.34
2022-07-12,143.12,15.06,233.07
2022-07-13,142.76,15.14,237.04
2022-07-14,145.68,15.35,238.31
2022-07-15,147.35,15.74,240.07
2022-07-18,144.31,16.08,240.55
2022-07-19,148.16,16.97,245.53
2022-07-20,150.17,17.78,247.5
2022-07-21,152.43,18.02,271.71
2022-07-22,151.2,17.29,272.24
2022-07-25,150.08,17.0,268.43
2022-07-26,148.75,16.51,258.86
2022-07-27,153.85,17.76,274.82
2022-07-28,154.4,17.96,280.9
2022-07-29,159.46,18.13,297.15
2022-08-01,158.48,18.41,297.28
2022-08-02,157.01,18.5,300.59
2022-08-03,163.01,18.86,307.4
2022-08-04,162.7,19.19,308.63
2022-08-05,162.47,18.96,288.17
2022-08-08,162.0,17.77,290.42
2022-08-09,162.05,17.06,283.33
2022-08-10,166.29,18.07,294.36
2022-08-11,165.56,17.91,286.63
2022-08-12,169.1,18.68,300.03
2022-08-15,170.17,19.0,309.32
2022-08-16,170.02,18.85,306.56
2022-08-17,171.51,18.31,304.0
2022-08-18,171.12,18.74,302.87
2022-08-19,168.53,17.82,296.67
2022-08-22,164.65,17.01,289.91
2022-08-23,164.32,17.15,296.45
2022-08-24,164.61,17.2,297.1
2022-08-25,167.07,17.89,296.07
2022-08-26,160.77,16.23,288.09
2022-08-29,158.57,15.78,284.82
2022-08-30,156.14,15.44,277.7
2022-08-31,154.48,15.07,275.61
2022-09-01,155.21,13.92,277.16
2022-09-02,153.1,13.63,270.21
2022-09-06,151.84,13.44,274.42
2022-09-07,153.24,13.7,283.7
2022-09-08,151.77,13.97,289.26
2022-09-09,154.63,14.37,299.68
2022-09-12,160.58,14.49,304.42
2022-09-13,151.16,13.11,292.13
2022-09-14,152.61,13.11,302.61
2022-09-15,149.72,12.91,303.75
2022-09-16,148.08,13.18,303.35
2022-09-19,151.79,13.37,309.07
2022-09-20,154.17,13.16,308.73
2022-09-21,151.04,13.24,300.8
2022-09-22,150.08,12.55,288.59
2022-09-23,147.81,12.5,275.33
2022-09-26,148.14,12.21,276.01
2022-09-27,149.12,12.4,282.94
2022-09-28,147.23,12.72,287.81
2022-09-29,140.0,12.2,268.21
2022-09-30,135.79,12.12,265.25
2022-10-03,139.97,12.5,242.4
2022-10-04,143.56,13.15,249.44
2022-10-05,143.85,13.19,240.81
2022-10-06,142.9,13.11,238.13
2022-10-07,137.65,12.06,223.07
2022-10-10,137.97,11.66,222.96
2022-10-11,136.56,11.57,216.5
2022-10-12,135.93,11.49,217.24
2022-10-13,140.5,11.94,221.72
2022-10-14,135.97,11.21,204.99
2022-10-17,139.93,11.87,219.35
2022-10-18,141.25,11.95,220.19
2022-10-19,141.35,12.04,222.04
2022-10-20,140.89,12.18,207.28
2022-10-21,144.71,12.45,214.44
2022-10-24,146.85,12.58,211.25
2022-10-25,149.69,13.24,222.42
2022-10-26,146.75,12.88,224.64
2022-10-27,142.28,13.16,225.09
2022-10-28,153.03,13.82,228.52
2022-10-31,150.67,13.48,227.54
2022-11-01,148.03,13.53,227.82
2022-11-02,142.5,13.2,214.98
2022-11-03,136.46,13.4,215.31
2022-11-04,136.2,14.14,207.47
2022-11-07,136.73,14.28,197.08
2022-11-08,137.3,14.58,191.3
2022-11-09,132.74,13.76,177.59
2022-11-10,144.55,15.73,190.72
2022-11-11,147.34,16.31,195.97
2022-11-14,145.94,16.27,190.95
2022-11-15,147.67,16.65,194.42
2022-11-16,146.44,15.89,186.92
2022-11-17,148.34,15.66,183.17
2022-11-18,148.9,15.39,180.19
2022-11-21,145.67,15.3,167.87
2022-11-22,147.81,16.02,169.91
2022-11-23,148.69,16.5,183.2
2022-11-25,145.77,16.25,182.86
2022-11-28,141.94,15.81,182.92
2022-11-29,138.94,15.62,180.83
2022-11-30,145.69,16.91,194.7
2022-12-01,145.97,17.12,194.7
2022-12-02,145.48,16.86,194.86
2022-12-05,144.32,16.59,182.45
2022-12-06,140.65,15.97,179.82
2022-12-07,138.72,16.1,174.04
2022-12-08,140.4,17.15,173.44
2022-12-09,139.92,16.98,179.05
2022-12-12,142.21,17.52,167.82
2022-12-13,143.17,18.05,160.95
2022-12-14,140.95,17.66,156.8
2022-12-15,134.35,16.94,157.67
2022-12-16,132.39,16.55,150.23
2022-12-19,130.28,16.24,149.87
2022-12-20,130.21,16.07,137.8
2022-12-21,133.31,16.48,137.57
2022-12-22,130.14,15.32,125.35
2022-12-23,129.78,15.19,123.15
2022-12-27,127.98,14.11,109.1
2022-12-28,124.05,14.02,112.71
2022-12-29,127.56,14.59,121.82
2022-12-30,127.88,14.6,123.18
2023-01-03,123.1,14.3,108.1
2023-01-04,124.37,14.73,113.64
2023-01-05,123.05,14.25,110.34
2023-01-06,127.57,14.84,113.06
2023-01-09,128.1,15.61,119.77
2023-01-10,128.67,15.89,118.85
2023-01-11,131.38,15.98,123.22
2023-01-12,131.3,16.49,123.56
2023-01-13,132.63,16.88,122.4
2023-01-17,133.79,17.68,131.49
2023-01-18,133.08,17.36,128.78
2023-01-19,133.14,16.75,127.17
2023-01-20,135.69,17.82,133.42
2023-01-23,138.88,19.17,143.75
2023-01-24,140.28,19.25,143.89
2023-01-25,139.62,19.3,144.43
2023-01-26,141.69,19.78,160.27
2023-01-27,143.63,20.34,177.9
2023-01-30,140.74,19.14,166.66
2023-01-31,142.01,19.52,173.22
2023-02-01,143.13,20.92,181.41
2023-02-02,148.44,21.69,188.27
2023-02-03,152.06,21.08,189.98
2023-02-06,149.34,21.07,194.76
2023-02-07,152.21,22.15,196.81
2023-02-08,149.52,22.18,201.29
2023-02-09,148.49,22.31,207.32
2023-02-10,148.85,21.24,196.89
2023-02-13,151.65,21.77,194.64
2023-02-14,151.01,22.95,209.25
2023-02-15,153.11,22.74,214.24
2023-02-16,151.51,21.98,202.04
2023-02-17,150.37,21.37,208.31
2023-02-21,146.36,20.63,197.37
2023-02-22,146.78,20.73,200.86
2023-02-23,147.27,23.64,202.07
2023-02-24,144.61,23.26,196.88
2023-02-27,145.81,23.48,207.63
2023-02-28,145.3,23.19,205.71
2023-03-01,143.23,22.68,202.77
2023-03-02,143.83,23.29,190.9
2023-03-03,148.87,23.87,197.79
2023-03-06,151.63,23.53,193.81
2023-03-07,149.44,23.27,187.71
2023-03-08,150.69,24.16,182.0
2023-03-09,148.44,23.42,172.92
2023-03-10,146.38,22.95,173.44
2023-03-13,148.32,22.95,174.48
2023-03-14,150.41,24.04,183.26
2023-03-15,150.81,24.21,180.45
2023-03-16,153.62,25.52,184.13
2023-03-17,152.79,25.7,180.13
